category,zulu_news
business,"UMkhandlu we-GST: intela engama-28% ekudlaleni oku-inthanethi, kumakhasino nasemjahweni wamahhashi UMqondisi Jikelele Wezokuhamba Komphakathi (DGCA) ubeke iSpiceJet ngaphansi kokuqashwa okuthuthukisiwe amasonto angaphezu kwangu-3 manje futhi kuyinqubo eqhubekayo, isikhulu sitshele i-PTI.
"
business,"Amanani emifino aphezulu angakhuphula izinga lokukhuphuka kwezinga lokudla kungekudala: Umbusi we-RBI ""Umbono wesikhathi esizayo ufihlekile ngezingozi zokukhuphuka kokudla okungaholela ekukhuleni kokukhuphuka kukaNovemba noDisemba.Lokhu kufanele kubhekelwe imiphumela yesibili yomzuliswano, uma kukhona,"" kusho uDas.
"
business,"ISensex ikhuphuka ngamaphuzu angama-213, Izitoko zamabhange zithuthuka ngamaphesenti angamashumi amahlanu, amasheya asebhange athuthuka, iJooFin ihlasela esifundeni esiphansi esingu-5% ngemuva kokuvula ifulethi, amalungelo asekhaya agxume phezulu ngoLwesithathu eholwa umkhankaso wamasheya asebhange.
"
business,"Njengoba amanani e-ATF ekhuphuka, i-IndiGo yethula amanani kaphethiloli asuselwa kude ngama-Rs 300-1,000 ngomkhakha ngamunye Ngokwe-indiza, inkokhiso kaphethiloli izosuselwa ekusithekeni kwebanga futhi izokwehluka phakathi kwama-Rs 300 nama-Rs 1,000 ngomkhakha ngamunye
"
business,"Ohulumeni bacabanga ukufakwa kwama-EV emkhakheni ophambili, ukusiza ukufinyelela ngemali ""Kuzodingeka ukuthi kudingidwe ne-RBI. Lokhu kuzoba ukuhlolwa okuningiliziwe. Konke lokhu kuzodingeka kwenziwe ukubolekwa kwemikhakha eza kuqala. Imikhakha eminingi ifuna ukwengezwa kuPSL,"" kusho isikhulu esiphezulu somnyango wezezimali.
"
business,"Ukukhishwa emigwaqweni nasekuvuselelekeni kungakhuphukela ku-Rs 13 lakh crore ku-FY24, FY25 Ngokuya kweCrisil, ukukhula kulindeleke ukuthi kuqhubeke esikhathini esiphakathi, kusekelwe izinqubomgomo eziqhubayo, inzalo yezintshisakalo ezinamandla kanye namaphrofayli wezezimali anempilo, okuholela kwikhwalithi yesikweletu ezinzile yezinkampani ezikwiphothifoliyo ye-Crisil Ratings ku yomibili imikhakha.
"
business,"I-lic ithole isaziso sentela yemali engenayo yama-Rs 84 cr; umshwalense wokufaka isicelo senhlawulo ubekwe kumshwalense ophethwe nguhulumeni ngokwephula izigaba 271 (1) (c) no-270A zoMthetho Wentela Yemali engenayo, 1961, kusho i-lic.
"
business,"Inzuzo ye-Hindustan Unilever ikhuphuka ngo-8% kwikota kaJuni Inzuzo enkulu ye-Infosys kwikota kaJuni yagxuma amaphesenti ayi-11 ngonyaka nonyaka yaya kuma Rs 5,945 crore. Inzuzo yayo enetha kwikota efanayo ngonyaka odlule yema Rs 5,360 crore.
"
business,"I-Tata Steel izovala izitshalo zokuphefumula zase-UK ngokulahlekelwa kwemisebenzi efinyelela ku-2,800 Ukuvalwa kuyingxenye yohlelo lukaTata Steel oluphethwe eNdiya lokuguqula ukulahlekelwa kwayo ebhizinisini lokwenza izinsimbi zase-UK ngokushintshela ekunciphiseni izitshalo zikagesi ze-carbon, isiphakamiso esisekelwa ngamapounds ayizigidi ezingama-500 ($ 634.10 million) yemali kahulumeni.
"
business,"IMumbai izobona ukukhuphuka okuphezulu kakhulu kwamanani wendawo yokuhlala emhlabeni jikelele: umbiko IDubai isiqedile izikota eziyisishiyagalombili endaweni ephezulu emhlabeni wonke ngokwanda kwamaphesenti angama-48.8 wama-YoY kumanani wezakhiwo zokuhlala eziphambili.
"
business,"Imakethe yamasheya namuhla: Esikhathini esikhethekile sokuhweba, iSensex, iNifty iyaqhubeka nokuwina imakethe Imakethe yokulingana ihweba ngesizini ephelele ngoMgqibelo, futhi izovalwa ngoMsombuluko ngenxa yeholide lomphakathi eMaharashtra kanye nohulumeni abaphakathi abagcina usuku lokusebenza isigamu ngesikhathi kugujwa ithempeli likaRam e-Ayodhya.
"
